InflationRate,ForeignBornPop
4.3,4.85
3.3,5
6.2,5.15
11.1,5.3
9.1,5.45
5.7,5.6
6.5,5.75
7.6,5.9
11.3,6.05
13.5,6.2
10.3,6.37
6.1,6.54
3.2,6.71
4.3,6.88
3.5,7.05
1.9,7.22
3.7,7.39
4.1,7.56
4.8,7.73
5.4,7.9
4.2,8.22
3,8.54
3,8.86
2.6,9.18
2.8,9.5
2.9,9.82
2.3,10.14
1.6,10.46
2.2,10.78
3.4,11.1
2.8,11.28
1.6,11.46
2.3,11.64
2.7,11.82
3.4,12
3.2,12.18
2.9,12.36
3.8,12.54
-0.4,12.72
1.6,12.9
3.2,13.02
2.1,13.14
1.5,13.26
1.6,13.38
0.1,13.5
1.3,13.55
2.1,13.6
2.4,13.65
1.8,13.7
1.2,13.65
4.7,13.6
